id,label
/home/an/spbu_deep_learning/classification/splitted/test/3b410f21-1b1f-415e-923d-5f6d8b90c9e7.jpg,0
/home/an/spbu_deep_learning/classification/splitted/test/ec8dd411-83cc-44f8-8f8b-aa73a4ca000d.png,1
/home/an/spbu_deep_learning/classification/splitted/test/bcb683b4-3b60-4e89-84ab-bc14a454ad73.png,16
/home/an/spbu_deep_learning/classification/splitted/test/174485c2-d264-4cc2-b8f5-35084b70948d.png,12
/home/an/spbu_deep_learning/classification/splitted/test/ad5802f4-1b48-4184-b696-399a6ec0a063.png,13
/home/an/spbu_deep_learning/classification/splitted/test/ed1bd3c4-1eda-4c4d-b1db-755b6e2748e8.png,1
/home/an/spbu_deep_learning/classification/splitted/test/4b31de5a-78af-4b8f-8074-b3e183409209.png,16
/home/an/spbu_deep_learning/classification/splitted/test/91893641-0081-4960-b851-87c978d73823.png,16
/home/an/spbu_deep_learning/classification/splitted/test/7fc4a522-ea59-4831-a572-91451065f0f2.jpg,13
/home/an/spbu_deep_learning/classification/splitted/test/f2b8a686-961d-49f6-a742-e54f3df53b47.png,16
/home/an/spbu_deep_learning/classification/splitted/test/7100a2c8-0bbb-41f1-bad8-eb7ea9b20041.png,7
/home/an/spbu_deep_learning/classification/splitted/test/7870a01d-9a3c-460e-b8be-55d1479bdb89.png,3
/home/an/spbu_deep_learning/classification/splitted/test/fa3975ed-d053-4a29-a56f-ccd2df2f27a2.png,0
/home/an/spbu_deep_learning/classification/splitted/test/8c9e36bf-01bb-4646-9a0c-d87ef6812d18.png,15
/home/an/spbu_deep_learning/classification/splitted/test/a54f841c-2e00-47e2-a021-855f012d3841.png,2
/home/an/spbu_deep_learning/classification/splitted/test/7ca9d11a-a0bb-43ce-bbed-c2ce3c7fc6f3.png,0
/home/an/spbu_deep_learning/classification/splitted/test/15330d2d-51d8-4f97-a4ee-b8a14f532a15.png,12
/home/an/spbu_deep_learning/classification/splitted/test/b4d4cbc7-5154-487d-a907-15efb405c90e.jpg,9
/home/an/spbu_deep_learning/classification/splitted/test/45622d35-caf3-4a9c-ad34-8edd0d20f56e.jpg,13
/home/an/spbu_deep_learning/classification/splitted/test/7d0b430d-9a4d-4c7e-95e0-ec00b67b35c6.png,16
/home/an/spbu_deep_learning/classification/splitted/test/5689e8f1-c6b6-48d7-ac67-22bcc00e03c9.png,1
